note_id,item_id,documented_competing_route,pre_annotation_note
AMB-001,EBE-042,security.recovery,Benchmark policy note frozen before annotation: wording in EBE-042 permits security.recovery although exact-match gold remains account.recovery.
AMB-002,EBE-043,billing.dispute,Benchmark policy note frozen before annotation: wording in EBE-043 permits billing.dispute although exact-match gold remains billing.refund.
AMB-003,EBE-044,orders.status,Benchmark policy note frozen before annotation: wording in EBE-044 permits orders.status although exact-match gold remains shipping.delay.
AMB-004,EBE-045,account.close,Benchmark policy note frozen before annotation: wording in EBE-045 permits account.close although exact-match gold remains subscription.cancel.
AMB-005,EBE-046,returns.damage,Benchmark policy note frozen before annotation: wording in EBE-046 permits returns.damage although exact-match gold remains warranty.claim.
AMB-006,EBE-047,security.recovery,Benchmark policy note frozen before annotation: wording in EBE-047 permits security.recovery although exact-match gold remains account.recovery.
AMB-007,EBE-048,billing.dispute,Benchmark policy note frozen before annotation: wording in EBE-048 permits billing.dispute although exact-match gold remains billing.refund.
AMB-008,EBE-049,orders.status,Benchmark policy note frozen before annotation: wording in EBE-049 permits orders.status although exact-match gold remains shipping.delay.
AMB-009,EBE-050,account.close,Benchmark policy note frozen before annotation: wording in EBE-050 permits account.close although exact-match gold remains subscription.cancel.
AMB-010,EBE-051,returns.damage,Benchmark policy note frozen before annotation: wording in EBE-051 permits returns.damage although exact-match gold remains warranty.claim.
AMB-011,EBE-052,security.recovery,Benchmark policy note frozen before annotation: wording in EBE-052 permits security.recovery although exact-match gold remains account.recovery.
AMB-012,EBE-053,billing.dispute,Benchmark policy note frozen before annotation: wording in EBE-053 permits billing.dispute although exact-match gold remains billing.refund.
AMB-013,EBE-054,orders.status,Benchmark policy note frozen before annotation: wording in EBE-054 permits orders.status although exact-match gold remains shipping.delay.
AMB-014,EBE-055,account.close,Benchmark policy note frozen before annotation: wording in EBE-055 permits account.close although exact-match gold remains subscription.cancel.
AMB-015,EBE-056,returns.damage,Benchmark policy note frozen before annotation: wording in EBE-056 permits returns.damage although exact-match gold remains warranty.claim.
AMB-016,EBE-057,security.recovery,Benchmark policy note frozen before annotation: wording in EBE-057 permits security.recovery although exact-match gold remains account.recovery.
AMB-017,EBE-058,billing.dispute,Benchmark policy note frozen before annotation: wording in EBE-058 permits billing.dispute although exact-match gold remains billing.refund.
AMB-018,EBE-059,orders.status,Benchmark policy note frozen before annotation: wording in EBE-059 permits orders.status although exact-match gold remains shipping.delay.
AMB-019,EBE-060,account.close,Benchmark policy note frozen before annotation: wording in EBE-060 permits account.close although exact-match gold remains subscription.cancel.
AMB-020,EBE-061,returns.damage,Benchmark policy note frozen before annotation: wording in EBE-061 permits returns.damage although exact-match gold remains warranty.claim.
AMB-021,EBE-062,security.recovery,Benchmark policy note frozen before annotation: wording in EBE-062 permits security.recovery although exact-match gold remains account.recovery.
AMB-022,EBE-063,billing.dispute,Benchmark policy note frozen before annotation: wording in EBE-063 permits billing.dispute although exact-match gold remains billing.refund.
AMB-023,EBE-064,orders.status,Benchmark policy note frozen before annotation: wording in EBE-064 permits orders.status although exact-match gold remains shipping.delay.
AMB-024,EBE-065,account.close,Benchmark policy note frozen before annotation: wording in EBE-065 permits account.close although exact-match gold remains subscription.cancel.
AMB-025,EBE-066,returns.damage,Benchmark policy note frozen before annotation: wording in EBE-066 permits returns.damage although exact-match gold remains warranty.claim.
AMB-026,EBE-067,security.recovery,Benchmark policy note frozen before annotation: wording in EBE-067 permits security.recovery although exact-match gold remains account.recovery.
AMB-027,EBE-068,billing.dispute,Benchmark policy note frozen before annotation: wording in EBE-068 permits billing.dispute although exact-match gold remains billing.refund.
AMB-028,EBE-069,orders.status,Benchmark policy note frozen before annotation: wording in EBE-069 permits orders.status although exact-match gold remains shipping.delay.
AMB-029,EBE-070,account.close,Benchmark policy note frozen before annotation: wording in EBE-070 permits account.close although exact-match gold remains subscription.cancel.
