item_id,input_summary,gold_route,predicted_route,scoring_result,annotator_a,annotator_b,adjudicated_category,adjudication_rationale
EBE-001,Independent ticket EBE-001: customer request 11 requires the documented billing.refund workflow.,billing.refund,none,incorrect_exact_route_match,route_omission,other,route_omission,"For EBE-001, the scorer-required route billing.refund is absent from the prediction."
EBE-002,Independent ticket EBE-002: customer request 12 requires the documented shipping.reschedule workflow.,shipping.reschedule,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-002, the scorer-required route shipping.reschedule is absent from the prediction."
EBE-003,Independent ticket EBE-003: customer request 13 requires the documented account.recovery workflow.,account.recovery,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-003, the scorer-required route account.recovery is absent from the prediction."
EBE-004,Independent ticket EBE-004: customer request 14 requires the documented orders.cancel workflow.,orders.cancel,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-004, the scorer-required route orders.cancel is absent from the prediction."
EBE-005,Independent ticket EBE-005: customer request 15 requires the documented subscription.pause workflow.,subscription.pause,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-005, the scorer-required route subscription.pause is absent from the prediction."
EBE-006,Independent ticket EBE-006: customer request 16 requires the documented warranty.claim workflow.,warranty.claim,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-006, the scorer-required route warranty.claim is absent from the prediction."
EBE-007,Independent ticket EBE-007: customer request 17 requires the documented billing.refund workflow.,billing.refund,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-007, the scorer-required route billing.refund is absent from the prediction."
EBE-008,Independent ticket EBE-008: customer request 18 requires the documented shipping.reschedule workflow.,shipping.reschedule,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-008, the scorer-required route shipping.reschedule is absent from the prediction."
EBE-009,Independent ticket EBE-009: customer request 19 requires the documented account.recovery workflow.,account.recovery,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-009, the scorer-required route account.recovery is absent from the prediction."
EBE-010,Independent ticket EBE-010: customer request 20 requires the documented orders.cancel workflow.,orders.cancel,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-010, the scorer-required route orders.cancel is absent from the prediction."
EBE-011,Independent ticket EBE-011: customer request 21 requires the documented subscription.pause workflow.,subscription.pause,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-011, the scorer-required route subscription.pause is absent from the prediction."
EBE-012,Independent ticket EBE-012: customer request 22 requires the documented warranty.claim workflow.,warranty.claim,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-012, the scorer-required route warranty.claim is absent from the prediction."
EBE-013,Independent ticket EBE-013: customer request 23 requires the documented billing.refund workflow.,billing.refund,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-013, the scorer-required route billing.refund is absent from the prediction."
EBE-014,Independent ticket EBE-014: customer request 24 requires the documented shipping.reschedule workflow.,shipping.reschedule,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-014, the scorer-required route shipping.reschedule is absent from the prediction."
EBE-015,Independent ticket EBE-015: customer request 25 requires the documented account.recovery workflow.,account.recovery,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-015, the scorer-required route account.recovery is absent from the prediction."
EBE-016,Independent ticket EBE-016: customer request 26 requires the documented orders.cancel workflow.,orders.cancel,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-016, the scorer-required route orders.cancel is absent from the prediction."
EBE-017,Independent ticket EBE-017: customer request 27 requires the documented subscription.pause workflow.,subscription.pause,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-017, the scorer-required route subscription.pause is absent from the prediction."
EBE-018,Independent ticket EBE-018: customer request 28 requires the documented warranty.claim workflow.,warranty.claim,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-018, the scorer-required route warranty.claim is absent from the prediction."
EBE-019,Independent ticket EBE-019: customer request 29 requires the documented billing.refund workflow.,billing.refund,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-019, the scorer-required route billing.refund is absent from the prediction."
EBE-020,Independent ticket EBE-020: customer request 30 requires the documented shipping.reschedule workflow.,shipping.reschedule,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-020, the scorer-required route shipping.reschedule is absent from the prediction."
EBE-021,Independent ticket EBE-021: customer request 31 requires the documented account.recovery workflow.,account.recovery,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-021, the scorer-required route account.recovery is absent from the prediction."
EBE-022,Independent ticket EBE-022: customer request 32 requires the documented orders.cancel workflow.,orders.cancel,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-022, the scorer-required route orders.cancel is absent from the prediction."
EBE-023,Independent ticket EBE-023: customer request 33 requires the documented subscription.pause workflow.,subscription.pause,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-023, the scorer-required route subscription.pause is absent from the prediction."
EBE-024,Independent ticket EBE-024: customer request 34 requires the documented warranty.claim workflow.,warranty.claim,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-024, the scorer-required route warranty.claim is absent from the prediction."
EBE-025,Independent ticket EBE-025: customer request 35 requires the documented billing.refund workflow.,billing.refund,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-025, the scorer-required route billing.refund is absent from the prediction."
EBE-026,Independent ticket EBE-026: customer request 36 requires the documented shipping.reschedule workflow.,shipping.reschedule,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-026, the scorer-required route shipping.reschedule is absent from the prediction."
EBE-027,Independent ticket EBE-027: customer request 37 requires the documented account.recovery workflow.,account.recovery,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-027, the scorer-required route account.recovery is absent from the prediction."
EBE-028,Independent ticket EBE-028: customer request 38 requires the documented orders.cancel workflow.,orders.cancel,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-028, the scorer-required route orders.cancel is absent from the prediction."
EBE-029,Independent ticket EBE-029: customer request 39 requires the documented subscription.pause workflow.,subscription.pause,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-029, the scorer-required route subscription.pause is absent from the prediction."
EBE-030,Independent ticket EBE-030: customer request 40 requires the documented warranty.claim workflow.,warranty.claim,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-030, the scorer-required route warranty.claim is absent from the prediction."
EBE-031,Independent ticket EBE-031: customer request 41 requires the documented billing.refund workflow.,billing.refund,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-031, the scorer-required route billing.refund is absent from the prediction."
EBE-032,Independent ticket EBE-032: customer request 42 requires the documented shipping.reschedule workflow.,shipping.reschedule,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-032, the scorer-required route shipping.reschedule is absent from the prediction."
EBE-033,Independent ticket EBE-033: customer request 43 requires the documented account.recovery workflow.,account.recovery,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-033, the scorer-required route account.recovery is absent from the prediction."
EBE-034,Independent ticket EBE-034: customer request 44 requires the documented orders.cancel workflow.,orders.cancel,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-034, the scorer-required route orders.cancel is absent from the prediction."
EBE-035,Independent ticket EBE-035: customer request 45 requires the documented subscription.pause workflow.,subscription.pause,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-035, the scorer-required route subscription.pause is absent from the prediction."
EBE-036,Independent ticket EBE-036: customer request 46 requires the documented warranty.claim workflow.,warranty.claim,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-036, the scorer-required route warranty.claim is absent from the prediction."
EBE-037,Independent ticket EBE-037: customer request 47 requires the documented billing.refund workflow.,billing.refund,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-037, the scorer-required route billing.refund is absent from the prediction."
EBE-038,Independent ticket EBE-038: customer request 48 requires the documented shipping.reschedule workflow.,shipping.reschedule,none,incorrect_exact_route_match,route_omission,route_omission,route_omission,"For EBE-038, the scorer-required route shipping.reschedule is absent from the prediction."
